Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/recurringPaymentId;recurringPaymentId;"Código ou identificador único informado pela instituição detentora da conta para representar a iniciação de pagamento. O `recurringPaymentId` deve ser diferente do `endToEndId`. 
Este é o identificador que deverá ser utilizado na consulta ao status da iniciação de pagamento efetuada.
";Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;1;1;"";Não permitido;string;TXpRMU9UQTROMWhZV2xSU1FUazJSMDl;1
/data/recurringConsentId;recurringConsentId;"Identificador único do consentimento criado para a iniciação de pagamento solicitada. Deverá ser um URN - Uniform Resource Name.
Um URN, conforme definido na [RFC8141](https://tools.ietf.org/html/rfc8141) é um Uniform Resource
Identifier - URI - que é atribuído sob o URI scheme ""urn"" e um namespace URN específico, com a intenção de que o URN
seja um identificador de recurso persistente e independente da localização.
Considerando a string urn:bancoex:C1DD33123 como exemplo para `recurringConsentId` temos:
- o namespace(urn)
- o identificador associado ao namespace da instituição transmissora (bancoex)
- o identificador específico dentro do namespace (C1DD33123).
Informações mais detalhadas sobre a construção de namespaces devem ser consultadas na [RFC8141](https://tools.ietf.org/html/rfc8141).
";Texto;256;Obrigatório;"^urn:[a-zA-Z0-9][a-zA-Z0-9\-]{0,31}:[a-zA-Z0-9()+,\-.:=@;$_!*'%\/?#]+$";;1;1;"";Não permitido;string;urn:bancoex:C1DD33123;
/data/endToEndId;endToEndId;"Trata-se de um identificador único, gerado na instituição iniciadora de pagamento e recebido na instituição detentora de conta, permeando toda a jornada do pagamento Pix.

[Restrição] A detentora deve obrigatoriamente retornar o campo com o mesmo valor recebido da iniciadora.
";Texto;32;Obrigatório;^([E])([0-9]{8})([0-9]{4})(0[1-9]|1[0-2])(0[1-9]|[1-2][0-9]|3[0-1])(2[0-3]|[01][0-9])([0-5][0-9])([a-zA-Z0-9]{11})$;;1;1;" A detentora deve obrigatoriamente retornar o campo com o mesmo valor recebido da iniciadora.
";Não permitido;string;E9040088820210128000800123873170;32
/data/date;date;Data em que o recurso foi criado. Uma string com a utilização de timezone UTC(UTC time format).;Texto;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2023-10-10;
/data/creationDateTime;creationDateTime;"Data e hora em que o pagamento foi criado. 
Uma string com data e hora conforme especificação [RFC-3339](https://datatracker.ietf.org/doc/html/rfc3339), 
sempre com a utilização de timezone UTC(UTC time format).
";Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z;
/data/statusUpdateDateTime;statusUpdateDateTime;"Data e hora em que o pagamento teve o status atualizado. 
Uma string com data e hora conforme especificação [RFC-3339](https://datatracker.ietf.org/doc/html/rfc3339), 
sempre com a utilização de timezone UTC(UTC time format).
";Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z;
/data/ibgeTownCode;ibgeTownCode;"O campo ibgeTownCode no arranjo Pix tem o mesmo comportamento que o campo codMun descrito no item 1.6.6 do manual do Pix.

1. Caso a informação referente ao município não seja enviada, o PSP do recebedor assumirá que não existem feriados estaduais e municipais no período em questão;
";Texto;7;Obrigatório;^\d{7}$;;1;1;"";Não permitido;string;5300108;7
/data/status;status;"Estado atual do pagamento. O estado evolui na seguinte ordem:
- RCVD (Received) - Indica que a requisição de pagamento foi recebida com sucesso pela detentora, mas ainda há validações a serem feitas antes de ser submetida para liquidação.
- CANC (Cancelled) - Indica que a transação Pix pendente foi cancelada com sucesso pelo usuário antes que fosse confirmada (ACCP) ou rejeitada (RJCT) pela detentora.
- ACCP( Accepted Customer Profile) - Indica que todas as verificações necessárias já foram realizadas pela detentora e que a transação está pronta para ser enviada para liquidação (no SPI se for Pix para outra instituição ou internamente se for para outra conta na mesma instituição).
- ACPD (Accepted Clearing Processed) - Indica que a detentora já submeteu a transação para liquidação, mas ainda não tem a confirmação se foi liquidada ou rejeitada.
- RJCT (Rejected) Indica que a transação foi rejeitada pela detentora ou pelo SPI.
- ACSC (Accepted Settlement Completed Debitor Account) - Indica que a transação foi efetivada pela detentora ou pelo SPI.
- PDNG (Pending) - Indica que a detentora reteve temporariamente a transação Pix para análise.
- SCHD (Scheduled) - Indica que a transação Pix foi agendada com sucesso na detentora.  
Em caso insucesso:
- RJCT (REJECTED) - Instrução de pagamento rejeitada.
";Texto;;Obrigatório;;"RCVD 
CANC 
ACCP 
ACPD 
RJCT 
ACSC 
PDNG 
SCHD";1;1;"";Não permitido;string;PDNG;
/data/rejectionReason;rejectionReason;"Objeto contendo o motivo de rejeição assíncrono
";Objeto;;Opcional;;;0;1;"";Não permitido;object;;
/data/rejectionReason/code;code;"Código identificador do motivo de rejeição.
Motivo da rejeição do pagamento. Informações complementares sobre o motivo do status.
- SALDO_INSUFICIENTE
- VALOR_ACIMA_LIMITE
- VALOR_INVALIDO
- NAO_INFORMADO
- PAGAMENTO_DIVERGENTE_CONSENTIMENTO
- PAGAMENTO_RECUSADO_DETENTORA
- PAGAMENTO_RECUSADO_SPI
- CONSENTIMENTO_INVALIDO
- FALHA_INFRAESTRUTURA_SPI
- FALHA_INFRAESTRUTURA_ICP
- FALHA_INFRAESTRUTURA_PSP_RECEBEDOR
- FALHA_INFRAESTRUTURA_DETENTORA
- TITULARIDADE_INCONSISTENTE

[Restrição] Esse motivo deverá ser enviado quando o campo `/data/status` for igual a RJCT (REJECTED).
";Texto;;Obrigatório;;"SALDO_INSUFICIENTE 
VALOR_ACIMA_LIMITE 
VALOR_INVALIDO 
NAO_INFORMADO 
PAGAMENTO_DIVERGENTE_CONSENTIMENTO 
PAGAMENTO_RECUSADO_DETENTORA 
PAGAMENTO_RECUSADO_SPI 
FALHA_INFRAESTRUTURA_SPI 
FALHA_INFRAESTRUTURA_ICP 
FALHA_INFRAESTRUTURA_PSP_RECEBEDOR 
FALHA_INFRAESTRUTURA_DETENTORA 
CONSENTIMENTO_INVALIDO 
TITULARIDADE_INCONSISTENTE";1;1;" Esse motivo deverá ser enviado quando o campo `/data/status` for igual a RJCT (REJECTED).
";Não permitido;string;SALDO_INSUFICIENTE;
/data/rejectionReason/detail;detail;"Detalhe sobre o código identificador do motivo de rejeição.

- SALDO_INSUFICIENTE: A conta selecionada não possui saldo suficiente para realizar o pagamento;
- VALOR_ACIMA_LIMITE: O valor (ou quantidade de transações) ultrapassa a faixa de limite parametrizada na detentora para permitir a realização de transações pelo cliente;
- VALOR_INVALIDO: O valor enviado não é válido; 
- NAO_INFORMADO: Não reportado/identificado pela instituição detentora de conta;
- PAGAMENTO_DIVERGENTE_CONSENTIMENTO: Dados do pagamento divergentes dos dados do consentimento;
- PAGAMENTO_RECUSADO_DETENTORA: [descrição do motivo de recusa];
- PAGAMENTO_RECUSADO_SPI: [código de erro conforme tabela de domínios reason PACS.002];
- CONSENTIMENTO_INVALIDO: Consentimento inválido (status diferente de ""AUTHORISED"" ou está expirado);
- FALHA_INFRAESTRUTURA_SPI: Indica uma falha no Sistema de Pagamentos Instantâneos (SPI);
- FALHA_INFRAESTRUTURA_ICP: Indica uma falha na Infraestrutura de Chaves Públicas (ICP);
- FALHA_INFRAESTRUTURA_PSP_RECEBEDOR: Indica uma falha na infraestrutura do Prestador de Serviço de Pagamento (PSP) que recebe o pagamento;
- FALHA_INFRAESTRUTURA_DETENTORA: indica uma falha na infraestrutura da instituição detentora das informações ou recursos;
- TITULARIDADE_INCONSISTENTE: Conta atualmente não associada ao CPF/CNPJ do consentimento de longa duração
";Texto;2048;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;;
/data/cnpjInitiator;cnpjInitiator;CNPJ do Iniciador de Pagamento devidamente habilitado para a prestação de Serviço de Iniciação no Pix.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;50685362000135;
/data/payment;payment;Objeto contendo as informações do pagamento.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/payment/amount;amount;"Valor da transação com 2 casas decimais.
";Texto;19;Obrigatório;^((\d{1,16}\.\d{2}))$;;1;1;"";Não permitido;string;100000.12;4
/data/payment/currency;currency;"Código da moeda nacional segundo modelo ISO-4217, ou seja, 'BRL'. Todos os valores monetários informados estão representados com a moeda vigente do Brasil.
";Texto;3;Obrigatório;^([A-Z]{3})$;;1;1;"";Não permitido;string;BRL;
/data/remittanceInformation;remittanceInformation;"Deve ser preenchido sempre que o usuário pagador inserir alguma informação adicional em um pagamento, a ser enviada ao recebedor.
";Texto;140;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;Pagamento da nota RSTO035-002.;
/data/creditorAccount;creditorAccount;"Objeto que contém a identificação da conta de destino do beneficiário/recebedor. 
";Objeto;;Opcional;;;0;1;"";Não permitido;object;;
/data/creditorAccount/ispb;ispb;"Deve ser preenchido com o ISPB (Identificador do Sistema de Pagamentos Brasileiros) do participante do SPI (Sistema de pagamentos instantâneos) somente com números.
";Texto;8;Obrigatório;^[0-9]{8}$;;1;1;"";Não permitido;string;12345678;8
/data/creditorAccount/issuer;issuer;"Código da Agência emissora da conta sem dígito. 
(Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, 
no exercício de atividades da instituição, não podendo ser móvel ou transitória).

[Restrição] Preenchimento obrigatório para os seguintes tipos de conta: CACC (CONTA_DEPOSITO_A_VISTA) e SVGS (CONTA_POUPANCA).
";Texto;4;Obrigatório;^[0-9]{1,4}$;;1;1;" Preenchimento obrigatório para os seguintes tipos de conta: CACC (CONTA_DEPOSITO_A_VISTA) e SVGS (CONTA_POUPANCA).
";Não permitido;string;1774;1
/data/creditorAccount/number;number;"Deve ser preenchido com o número da conta transacional do usuário recebedor, com dígito verificador (se este existir),
se houver valor alfanumérico, este deve ser convertido para 0.
";Texto;20;Obrigatório;^[0-9]{1,20}$;;1;1;"";Não permitido;string;1234567890;1
/data/creditorAccount/accountType;accountType;"Tipos de contas usadas para pagamento via Pix.
Modalidades tradicionais previstas pela Resolução 4.753, não contemplando contas vinculadas,
conta de domiciliados no exterior, contas em moedas estrangeiras e conta correspondente moeda eletrônica.
Segue descrição de cada valor do ENUM para o escopo do Pix.

- CACC - Current - Conta Corrente.
- SVGS - Savings - Conta de Poupança.
- TRAN - TransactingAccount - Conta de Pagamento pré-paga.
";Texto;;Obrigatório;;"CACC 
SVGS 
TRAN";1;1;"";Não permitido;string;CACC;
/data/debtorAccount;debtorAccount;"Objeto que contém a identificação da conta de origem do pagador.  
As informações quanto à conta de origem do pagador poderão ser trazidas no consentimento para a detentora, caso a iniciadora tenha coletado essas informações do cliente. Do contrário, será coletada na detentora e trazida para a iniciadora como resposta à criação do pagamento.
";Objeto;;Opcional;;;0;1;"";Não permitido;object;;
/data/debtorAccount/ispb;ispb;"Deve ser preenchido com o ISPB (Identificador do Sistema de Pagamentos Brasileiros) do participante do SPI (Sistema de pagamentos instantâneos) somente com números.
";Texto;8;Obrigatório;^[0-9]{8}$;;1;1;"";Não permitido;string;12345678;8
