Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/recurringPaymentId;recurringPaymentId;"Código ou identificador único informado pela instituição detentora da conta para representar a iniciação de pagamento. O `recurringPaymentId` deve ser diferente do `endToEndId`. 
Este é o identificador que deverá ser utilizado na consulta ao status da iniciação de pagamento efetuada.
";Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9\-]{0,99}$;;1;1;"";Não permitido;string;TXpRMU9UQTROMWhZV2xSU1FUazJSMDl;1
/data/recurringConsentId;recurringConsentId;"Identificador único do consentimento criado para a iniciação de pagamento solicitada. Deverá ser um URN - Uniform Resource Name.
Um URN, conforme definido na [RFC8141](https://tools.ietf.org/html/rfc8141) é um Uniform Resource
Identifier - URI - que é atribuído sob o URI scheme ""urn"" e um namespace URN específico, com a intenção de que o URN
seja um identificador de recurso persistente e independente da localização.
Considerando a string urn:bancoex:C1DD33123 como exemplo para `recurringConsentId` temos:
- o namespace(urn)
- o identificador associado ao namespace da instituição transmissora (bancoex)
- o identificador específico dentro do namespace (C1DD33123).
Informações mais detalhadas sobre a construção de namespaces devem ser consultadas na [RFC8141](https://tools.ietf.org/html/rfc8141).
";Texto;256;Obrigatório;"^urn:[a-zA-Z0-9][a-zA-Z0-9\-]{0,31}:[a-zA-Z0-9()+,\-.:=@;$_!*'%\/?#]+$";;1;1;"";Não permitido;string;urn:bancoex:C1DD33123;
/data/endToEndId;endToEndId;"Trata-se de um identificador único, gerado na instituição iniciadora de pagamento e recebido na instituição detentora de conta, permeando toda a jornada do pagamento Pix.

[Restrição] A detentora deve obrigatoriamente retornar o campo com o mesmo valor recebido da iniciadora.
";Texto;32;Obrigatório;^([E])([0-9]{8})([0-9]{4})(0[1-9]|1[0-2])(0[1-9]|[1-2][0-9]|3[0-1])(2[0-3]|[01][0-9])([0-5][0-9])([a-zA-Z0-9]{11})$;;1;1;" A detentora deve obrigatoriamente retornar o campo com o mesmo valor recebido da iniciadora.
";Não permitido;string;E9040088820210128000800123873170;32
/data/date;date;Data em que o recurso foi criado. Uma string com a utilização de timezone UTC(UTC time format).;Texto;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2023-10-10;
/data/creationDateTime;creationDateTime;"Data e hora em que o pagamento foi criado. 
Uma string com data e hora conforme especificação [RFC-3339](https://datatracker.ietf.org/doc/html/rfc3339), 
sempre com a utilização de timezone UTC(UTC time format).
";Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z;
/data/statusUpdateDateTime;statusUpdateDateTime;"Data e hora em que o pagamento teve o status atualizado. 
Uma string com data e hora conforme especificação [RFC-3339](https://datatracker.ietf.org/doc/html/rfc3339), 
sempre com a utilização de timezone UTC(UTC time format).
";Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2020-07-21T08:30:00Z;
/data/status;status;"Estado atual do pagamento. O estado evolui na seguinte ordem:
- RCVD (Received) - Indica que a requisição de pagamento foi recebida com sucesso pela detentora, mas ainda há validações a serem feitas antes de ser submetida para liquidação.
- CANC (Cancelled) - Indica que a transação Pix pendente foi cancelada com sucesso pelo usuário antes que fosse confirmada (ACCP) ou rejeitada (RJCT) pela detentora.
- ACCP( Accepted Customer Profile) - Indica que todas as verificações necessárias já foram realizadas pela detentora e que a transação está pronta para ser enviada para liquidação (no SPI se for Pix para outra instituição ou internamente se for para outra conta na mesma instituição).
- ACPD (Accepted Clearing Processed) - Indica que a detentora já submeteu a transação para liquidação, mas ainda não tem a confirmação se foi liquidada ou rejeitada.
- RJCT (Rejected) Indica que a transação foi rejeitada pela detentora ou pelo SPI.
- ACSC (Accepted Settlement Completed Debitor Account) - Indica que a transação foi efetivada pela detentora ou pelo SPI.
- PDNG (Pending) - Indica que a detentora reteve temporariamente a transação Pix para análise.
- SCHD (Scheduled) - Indica que a transação Pix foi agendada com sucesso na detentora.  
Em caso insucesso:
- RJCT (REJECTED) - Instrução de pagamento rejeitada.
";Texto;;Obrigatório;;"RCVD 
CANC 
ACCP 
ACPD 
RJCT 
ACSC 
PDNG 
SCHD";1;1;"";Não permitido;string;PDNG;
/data/rejectionReason;rejectionReason;"Objeto contendo o motivo de rejeição assíncrono
";Objeto;;Opcional;;;0;1;"";Não permitido;object;;
/data/rejectionReason/code;code;"Código identificador do motivo de rejeição.
Motivo da rejeição do pagamento. Informações complementares sobre o motivo do status.
- SALDO_INSUFICIENTE
- VALOR_ACIMA_LIMITE
- VALOR_INVALIDO
- NAO_INFORMADO
- PAGAMENTO_DIVERGENTE_CONSENTIMENTO
- PAGAMENTO_RECUSADO_DETENTORA
- PAGAMENTO_RECUSADO_SPI
- CONSENTIMENTO_INVALIDO
- FALHA_INFRAESTRUTURA_SPI
- FALHA_INFRAESTRUTURA_ICP
- FALHA_INFRAESTRUTURA_PSP_RECEBEDOR
- FALHA_INFRAESTRUTURA_DETENTORA

[Restrição] Esse motivo deverá ser enviado quando o campo `/data/status` for igual a RJCT (REJECTED).
";Texto;;Obrigatório;;"SALDO_INSUFICIENTE 
VALOR_ACIMA_LIMITE 
VALOR_INVALIDO 
NAO_INFORMADO 
PAGAMENTO_DIVERGENTE_CONSENTIMENTO 
PAGAMENTO_RECUSADO_DETENTORA 
PAGAMENTO_RECUSADO_SPI 
FALHA_INFRAESTRUTURA_SPI 
FALHA_INFRAESTRUTURA_ICP 
FALHA_INFRAESTRUTURA_PSP_RECEBEDOR 
FALHA_INFRAESTRUTURA_DETENTORA 
CONSENTIMENTO_INVALIDO";1;1;" Esse motivo deverá ser enviado quando o campo `/data/status` for igual a RJCT (REJECTED).
";Não permitido;string;SALDO_INSUFICIENTE;
