Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;"";Lista;;Obrigatório;;;0;N;"";Não permitido;array;;
/data/transactionId;transactionId;Código ou identificador único prestado pela instituição que mantém a conta para representar a transação individual.;Texto;100;Opcional;^[a-zA-Z0-9][a-zA-Z0-9-]{0,99}$;;0;1;"";Não permitido;string;TXpRMU9UQTROMWhZV2xSU1FUazJSMDl;1
/data/identificationNumber;identificationNumber;Número de identificação do cartão: corresponde aos 4 últimos dígitos do cartão para PF, ou então, preencher com um identificador para PJ, com as caracteristicas definidas para os IDs no Open Banking.;Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9-]{0,99}$;;1;1;"";Não permitido;string;4453;1
/data/transactionName;transactionName;Campo de livre preenchimento. Literal usada na instituição financeira para identificar a transação;Texto;100;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;PGTO;
/data/billId;billId;Informação que identifica a fatura onde consta a transação informada.;Texto;100;Opcional;^[a-zA-Z0-9][a-zA-Z0-9-]{0,99}$;;0;1;"";Não permitido;string;MTU0OTU1NjI2NTk4OTRmc2ZhZDRmc2Q1NmZkM;1
/data/creditDebitType;creditDebitType;"Indicador do tipo de lançamento: 
Débito (no extrato) Em um extrato bancário, os débitos, marcados com a letra “D” ao lado do valor registrado, informam as saídas de dinheiro na conta-corrente.
Crédito (no extrato) Em um extrato bancário, os créditos, marcados com a letra “C” ao lado do valor registrado, informam as entradas de dinheiro na conta-corrente.";Texto;;Obrigatório;;"CREDITO 
DEBITO";1;1;"";Não permitido;string;DEBITO;
/data/transactionType;transactionType;Traz os tipos de Transação;Texto;;Obrigatório;;"PAGAMENTO 
TARIFA 
OPERACOES_CREDITO_CONTRATADAS_CARTAO 
ESTORNO 
CASHBACK 
OUTROS";1;1;"";Não permitido;string;CASHBACK;
/data/transactionalAdditionalInfo;transactionalAdditionalInfo;Campo livre, de preenchimento obrigatório quando selecionado tipo de transação OUTROS;Texto;140;Opcional;^\S[\s\S]*$;;0;1;"";Não permitido;string;;
/data/paymentType;paymentType;Traz os tipos de pagamento.;Texto;;Condicional;;"A_VISTA 
A_PRAZO";0;1;" Preenchimento obrigatório se Tipo de Transação selecionada for 'PAGAMENTO'.
";Não permitido;string;A_VISTA;
/data/feeType;feeType;Traz os tipos de Tarifas: (Vide Enum) Anuidade, Saque com cartão no Brasil, Saque com cartão no exterior, Avaliação emergencial de crédito, Emissão segunda via, Tarifa pagamento de contas, SMS, OUTRA.;Texto;;Condicional;;"ANUIDADE 
SAQUE_CARTAO_BRASIL 
SAQUE_CARTAO_EXTERIOR 
AVALIACAO_EMERGENCIAL_CREDITO 
EMISSAO_SEGUNDA_VIA 
TARIFA_PAGAMENTO_CONTAS 
SMS 
OUTRA";0;1;" Preenchimento obrigatório se Tipo de Transação selecionada for 'TARIFA'.
";Não permitido;string;ANUIDADE;
/data/feeTypeAdditionalInfo;feeTypeAdditionalInfo;Campo livre, de preenchimento obrigatório quando selecionada tipo de tarifa OUTRA;Texto;140;Opcional;^\S[\s\S]*$;;0;1;"";Não permitido;string;;
/data/otherCreditsType;otherCreditsType;Traz outros tipos de crédito contratados no cartão.;Texto;;Condicional;;"CREDITO_ROTATIVO 
PARCELAMENTO_FATURA 
EMPRESTIMO 
OUTROS";0;1;" Preenchimento obrigatório se o tipo transação selecionado for 'OPERACOES_CREDITO_CONTRATADAS_CARTAO'.
";Não permitido;string;CREDITO_ROTATIVO;
/data/otherCreditsAdditionalInfo;otherCreditsAdditionalInfo;Campo livre para preenchimento de dados adicionais de outros tipos de crédito contratados no cartão.;Texto;50;Condicional;^\S[\s\S]*$;;0;1;" Preenchimento obrigatório quando selecionado no campo outros tipos de crédito ""OUTROS"".
";Não permitido;string;;
/data/chargeIdentificator;chargeIdentificator;Identificador da parcela que está sendo informada. Campo de livre preenchimento;Texto;50;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;PARCELA_1;
/data/chargeNumber;chargeNumber;Quantidade de parcelas.;Número;;Condicional;;;0;1;" O campo deve ser preenchido quando houverem parcelas relacionadas a transação.
";Não permitido;number;12;
/data/brazilianAmount;brazilianAmount;Valor da transação expresso em valor monetário com no mínimo 2 casas e no máximo 4 casas decimais, em moeda corrente do Brasil. Deve ser o valor de amount convertido para BRL (em caso de compra internacional) ou o mesmo valor de amount (em caso de compra nacional).;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/brazilianAmount/amount;amount;Valor relacionado ao objeto.;Texto;20;Obrigatório;^\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;string;1000.0400;4
/data/brazilianAmount/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/amount;amount;Valor original da transação. Expresso em valor monetário com no mínimo 2 casas decimais e no máximo 4 casas decimais. Deve ser sempre preenchido com o valor original da transação independente da nacionalidade, sem convertê-lo.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/amount/amount;amount;Valor relacionado ao objeto.;Texto;20;Obrigatório;^\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;string;1000.0400;4
/data/amount/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/transactionDate;transactionDate;Data original da transação;Data;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2021-05-21;
/data/billPostDate;billPostDate;Data em que a transação foi inserida na fatura;Data;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2021-05-21;
