Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/issuerInstitutionCnpjNumber;issuerInstitutionCnpjNumber;CNPJ da instituição emissora;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;11225860000140;
/data/isinCode;isinCode;"Código ISIN é um código universal que identifica cada valor mobiliário ou instrumento financeiro, conforme Norma ISO 6166. Caso a transmissora possua a informação o envio deste campo é obrigatório.

[Restrição] Deve ser preenchido nos casos em que o 'clearingCode' não seja preenchido.
";Texto;12;Condicional;^[A-Z]{2}([A-Z0-9]){9}\d{1}$;;0;1;" Deve ser preenchido nos casos em que o 'clearingCode' não seja preenchido.
";Não permitido;string;BRCST4CTF001;
/data/investmentType;investmentType;Especificação do ativo em questão (Debêntures, CRI ou CRA).;Texto;;Obrigatório;;"DEBENTURES 
CRI 
CRA";1;1;"";Não permitido;string;CRI;
/data/debtorCnpjNumber;debtorCnpjNumber;"CNPJ do devedor. Caso a transmissora possua a informação para os produtos CRI e CRA, o envio deste campo é obrigatório.
";Texto;14;Opcional;^\d{14}$;;0;1;"";Não permitido;string;11225860000140;
/data/debtorName;debtorName;"Nome do devedor. Caso a transmissora possua a informação para os produtos CRI e CRA, o envio deste campo é obrigatório.
";Texto;70;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;Roberto Marino;
/data/taxExemptProduct;taxExemptProduct;Indicador de um produto incentivado;Texto;;Obrigatório;;"SIM 
NAO";1;1;"";Não permitido;string;SIM;
/data/remuneration;remuneration;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/remuneration/preFixedRate;preFixedRate;"Valor da taxa de emissão do contrato.         
[Restrição] Campo de preenchimento obrigatório pelas participantes quando houver 'PRE_FIXADO' no campo 'indexer' ou quando se tratar de produto com remuneração híbrida.
";Texto;8;Condicional;^\d{1}\.\d{6}$;;0;1;" Campo de preenchimento obrigatório pelas participantes quando houver 'PRE_FIXADO' no campo 'indexer' ou quando se tratar de produto com remuneração híbrida.
";Não permitido;string;0.300000;
/data/remuneration/postFixedIndexerPercentage;postFixedIndexerPercentage;"Percentual do indexador de emissão do contrato.    
[Restrição] Campo de preenchimento obrigatório pelas participantes quando o campo 'indexer' for preenchido de forma diferente de 'PRE_FIXADO' ou quando se tratar de produto com remuneração híbrida.
";Texto;8;Condicional;^\d{1}\.\d{6}$;;0;1;" Campo de preenchimento obrigatório pelas participantes quando o campo 'indexer' for preenchido de forma diferente de 'PRE_FIXADO' ou quando se tratar de produto com remuneração híbrida.
";Não permitido;string;1.100000;
