Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;Objeto que reúne as informações relativas ao relacionamento do cliente junto à Instituição. Considera-se relacionamento as informações que permitam conhecer desde quando a pessoa consultada é cliente da instituição, bem como um indicador dos produtos e serviços que ela consome atualmente e seus representantes;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/updateDateTime;updateDateTime;"Data e hora da atualização dos campos \<_endpoint_\>, conforme especificação RFC-3339, formato UTC. Quando não existente uma data vinculada especificamente ao bloco, assumir a data e hora de atualização do cadastro como um todo.
";Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2021-05-21T08:30:00Z;
/data/startDate;startDate;Data de início de relacionamento com a Instituição Financeira. Deve trazer o menor valor entre a informação reportada ao BACEN pelo DOC 3040 e CCS.;Date Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;"";Não permitido;string;2021-05-21T08:30:00Z;
/data/productsServicesType;productsServicesType;;Lista;;Obrigatório;;"CONTA_DEPOSITO_A_VISTA 
CONTA_POUPANCA 
CONTA_PAGAMENTO_PRE_PAGA 
CARTAO_CREDITO 
OPERACAO_CREDITO 
SEGURO 
PREVIDENCIA 
INVESTIMENTO 
OPERACOES_CAMBIO 
CONTA_SALARIO 
CREDENCIAMENTO 
OUTROS";1;12;"";Não permitido;array;SEGURO;
/data/productsServicesTypeAdditionalInfo;productsServicesTypeAdditionalInfo;"Informações adicionais do tipo de serviço.
[Restrição] Campo obrigatório quando productsServicesType for 'OUTROS'.
";Texto;100;Condicional;^[\w\W]*$;;0;1;" Campo obrigatório quando productsServicesType for 'OUTROS'.
";Não permitido;string;Informações adicionais do tipo de serviço.;
/data/procurators;procurators;"Lista dos representantes. 
[Restrição] De preenchimento obrigatório se houver representante.
";Lista;;Obrigatório;;;0;N;" De preenchimento obrigatório se houver representante.
";Não permitido;array;;
/data/procurators/type;type;"Tipo de representante.
Representante legal - Nome Civil completo da Pessoa Natural que represente uma entidade ou uma empresa e é nomeado em seu ato constitutivo, ou seja, no contrato social ou estatuto social.
Procurador - é qualquer pessoa que represente a Pessoa Natural em algum negócio, mediante autorização escrita do mesmo.
";Texto;;Obrigatório;;"REPRESENTANTE_LEGAL 
PROCURADOR";1;1;"";Não permitido;string;PROCURADOR;
/data/procurators/cpfNumber;cpfNumber;Número completo do CPF. O CPF é o Cadastro de Pessoa natural. Ele é um documento feito pela Receita Federal e serve para identificar os contribuintes. O CPF é uma numeração com 11 dígitos, que só mudam por decisão judicial. O documento é emitido pela receita federal;Texto;11;Obrigatório;^\d{11}$;;1;1;"";Não permitido;string;73677831148;
/data/procurators/civilName;civilName;Nome civil completo da pessoa natural. (Direito fundamental da pessoa, o nome civil é aquele atribuído à pessoa natural desde o registro de seu nascimento, com o qual será identificada por toda a sua vida, bem como após a sua morte);Texto;70;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Elza Milena Stefany Teixeira;
/data/procurators/socialName;socialName;Nome social da pessoa natural, se houver. (aquele pelo qual travestis e transexuais se reconhecem, bem como são identificados por sua comunidade e em seu meio social, conforme Decreto Nº 51.180, de 14 de janeiro de 2010);Texto;70;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;Carlos;
/data/accounts;accounts;"Lista de contas depósito à vista, poupança e pagamento pré-pagas mantidas pelo cliente na instituição transmissora.
";Lista;;Obrigatório;;;0;N;"";Não permitido;array;;
/data/accounts/compeCode;compeCode;Código identificador atribuído pelo Banco Central do Brasil às instituições participantes do STR (Sistema de Transferência de reservas).O Compe (Sistema de Compensação de Cheques e Outros Papéis) é um sistema que identifica e processa as compensações bancárias. Ele é representado por um código de três dígitos que serve como identificador de bancos, sendo assim, cada instituição bancária possui um número exclusivo;Texto;3;Obrigatório;^\d{3}$;;1;1;"";Não permitido;string;001;
/data/accounts/branchCode;branchCode;"Código da Agência detentora da conta. (Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, no exercício de atividades da instituição, não podendo ser móvel ou transitória)   
[Restrição] Obrigatoriamente deve ser preenchido quando o campo ""type"" for diferente de conta pré paga.
";Texto;4;Condicional;^\d{4}$;;0;1;" Obrigatoriamente deve ser preenchido quando o campo ""type"" for diferente de conta pré paga.
";Não permitido;string;6272;
/data/accounts/number;number;"Número da conta
";Texto;20;Obrigatório;^\d{8,20}$;;1;1;"";Não permitido;string;24550245;
/data/accounts/checkDigit;checkDigit;"Dígito da conta
";Texto;1;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;4;
/data/accounts/type;type;"Tipos de contas. Modalidades tradicionais previstas pela Resolução 4.753, não contemplando contas vinculadas, conta de domiciliados no exterior, contas em moedas estrangeiras e conta correspondente moeda eletrônica. Vide Enum:

Conta de depósito à vista ou Conta corrente - é o tipo mais comum. Nela, o dinheiro fica à sua disposição para ser sacado a qualquer momento. Essa conta não gera rendimentos para o depositante.

Conta poupança - foi criada para estimular as pessoas a pouparem. O dinheiro que ficar na conta por trinta dias passa a gerar rendimentos, com isenção de imposto de renda para quem declara. Ou seja, o dinheiro “cresce” (rende) enquanto ficar guardado na conta. Cada depósito terá rendimentos de mês em mês, sempre no dia do mês em que o dinheiro tiver sido depositado.

Conta de pagamento pré-paga - segundo CIRCULAR Nº 3.680, BCB de  2013, é a 'destinada à execução de transações de pagamento em moeda eletrônica realizadas com base em fundos denominados em reais previamente aportados'.
";Texto;;Obrigatório;;"CONTA_DEPOSITO_A_VISTA 
CONTA_POUPANCA 
CONTA_PAGAMENTO_PRE_PAGA";1;1;"";Não permitido;string;CONTA_DEPOSITO_A_VISTA;
/data/accounts/subtype;subtype;"Subtipo de conta (vide Enum): 
Conta individual - possui um único titular
Conta conjunta simples - onde as movimentações financeiras só podem serem realizadas mediante autorização de TODOS os correntistas da conta.
Conta conjunta solidária - é a modalidade cujos titulares podem realizar movimentações de forma isolada, isto é, sem que seja necessária a autorização dos demais titulares.
";Texto;;Obrigatório;;"INDIVIDUAL 
CONJUNTA_SIMPLES 
CONJUNTA_SOLIDARIA";1;1;"";Não permitido;string;INDIVIDUAL;
/data/portabilitiesReceived;portabilitiesReceived;"Lista de informações de empregador recebidos através de portabilidade de salário solicitada pelo cliente da transmissora à instituição detentora(s) de sua conta salário, ativos ou que já estiveram ativos,. Cada vínculo é associado a uma portabilidade de salário recebida pela transmissora.

Obs.: a portabilidade não é explicitamente encerrada, ou seja, a IF para a qual o salário foi portado não é avisado quando a conta salário se encerra ou o salário é portado para outra IF. Não é possível garantir que os dados informados sejam de uma portabilidade ativa, nem que o vínculo com o banco folha ainda exista. A transmissora terá tais informações apenas quando o pedido da portabilidade tiver sido solicitado em seus canais.
";Lista;;Opcional;;;1;N;"";Não permitido;array;;
