Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de Open Finance;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/participant/brand;brand;Nome da marca reportada pelo participante do Open Finance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Organização;
/data/participant/name;name;Nome do participante do Open Finance.;Texto;80;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Organização A1;
/data/participant/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;13456789000112;
/data/participant/urlComplementaryList;urlComplementaryList;"Array de objeto com a estrutura abaixo:

- 'name' com o valor contido no campo ‘LegalEntityName’ conforme cadastro no diretório;

- 'cnpjNumber' com o valor contido no campo CNPJ (‘RegistrationNumber’) correspondente a esta instituição;

\- Ambos do tipo string;

\- Ambos obrigatórios. 
";Texto;1024;Opcional;^(https?:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;0;1;"";Não permitido;string;https://empresaa1.com/companies;
/data/transactionType;transactionType;"Determina se o Banco está comprando ou vendendo a moeda estrangeira nas operações
spot,  que se liquidam em até dois dias (não aplica-se a operações futuras. (Vide Enum)
- Compra
- Venda
";Texto;;Obrigatório;;"COMPRA 
VENDA";1;1;"";Não permitido;string;COMPRA;
/data/foreignCurrency;foreignCurrency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/deliveryForeignCurrency;deliveryForeignCurrency;A classificação da forma de operação, conforme a circular BCB nº 3690 de 16/12/2013. (Vide Enum)<br><ul><li>ESPECIE</li><li>CARTAO_PRE_PAGO</li><li>TELETRANSMISSAO_SWIFT</li></ul>;Texto;;Obrigatório;;"ESPECIE 
CARTAO_PRE_PAGO 
TELETRANSMISSAO_SWIFT";1;1;"";Não permitido;string;CARTAO_PRE_PAGO;
/data/rangeTransactionCategory;rangeTransactionCategory;"Faixa de valor da operação (equivalente em USD), conforme Instrução

Normativa BCB 184, de 12 Novembro de 2021.
";Texto;;Obrigatório;;"0,01_200 
200,01_500 
500,01_1.000 
1.000,01_3.000 
3.000,01_10.000 
10.000,01_30.000 
30.000,01_100.000";1;1;"";Não permitido;string;0,01_200;
/data/targetAudience;targetAudience;Público alvo. Em casos em que a instituição não possua taxas de câmbio diferenciadas para pessoa natural e jurídica utilizar a opção:PESSOA_NATURAL_JURIDICA.;Texto;;Obrigatório;;"PESSOA_NATURAL 
PESSOA_JURIDICA 
PESSOA_NATURAL_JURIDICA";1;1;"";Não permitido;string;PESSOA_JURIDICA;
/data/vetAmount;vetAmount;Distribuição por frequência.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/vetAmount/prices;prices;Distribuição dos preços.;Lista;;Obrigatório;;;4;4;"";Não permitido;array;"[{""interval""=>""1_FAIXA"", ""value""=>""0.020300"", ""operationRate""=>""0.500000""}, {""interval""=>""2_FAIXA"", ""value""=>""0.030600"", ""operationRate""=>""0.100000""}, {""interval""=>""3_FAIXA"", ""value""=>""0.034300"", ""operationRate""=>""0.300000""}, {""interval""=>""4_FAIXA"", ""value""=>""0.246800"", ""operationRate""=>""0.100000""}]";
/data/vetAmount/prices/interval;interval;Faixas de frequência;Texto;;Obrigatório;;"1_FAIXA 
2_FAIXA 
3_FAIXA 
4_FAIXA";1;1;"";Não permitido;string;1_FAIXA;
/data/vetAmount/prices/value;value;Mediana.;Texto;8;Obrigatório;^\d{1}\.\d{6}$;;1;1;"";Não permitido;string;0.020300;8
/data/vetAmount/prices/operationRate;operationRate;Percentual de Operação.;Texto;8;Obrigatório;^\d{1}\.\d{6}$;;1;1;"";Não permitido;string;0.500000;8
/data/vetAmount/minimum;minimum;Valor mínimo.;Texto;8;Obrigatório;^\d{1}\.\d{6}$;;1;1;"";Não permitido;string;0.010000;8
/data/vetAmount/maximum;maximum;Valor máximo.;Texto;8;Obrigatório;^\d{1}\.\d{6}$;;1;1;"";Não permitido;string;0.300000;8
