Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Lista;;Obrigatório;;;0;N;"";Não permitido;array;;
/data/transactionId;transactionId;Código ou identificador único prestado pela instituição que mantém a representação individual do movimento na posição do fundo.;Texto;100;Obrigatório;^[a-zA-Z0-9][a-zA-Z0-9-]{0,99}$;;1;1;"";Não permitido;string;ABCD2126019929279212650822221989319253344;
/data/type;type;"Tipo de movimentação (Entrada ou Saída).

ENTRADA: APLICACAO, TRANSFERENCIA_COTAS,  OUTROS.

SAIDA: RESGATE, COME_COTAS, TRANSFERENCIA_COTAS, AMORTIZACAO, OUTROS.
";Texto;;Obrigatório;;"ENTRADA 
SAIDA";1;1;"";Não permitido;string;ENTRADA;
/data/transactionType;transactionType;"O campo deve classificar a transação de movimentação de investimento em um dos tipos descritos (amortização, transferência de cotas, aplicação, resgate ou come-cotas).  
A opção OUTROS só deve ser utilizada para os casos em que de fato a transação compartilhada não possa ser classificada como um dos itens deste Enum, e nesse caso deve-se preencher informações adicionais.
";Texto;;Obrigatório;;"AMORTIZACAO 
TRANSFERENCIA_COTAS 
APLICACAO 
RESGATE 
COME_COTAS 
OUTROS";1;1;"";Não permitido;string;AMORTIZACAO;
/data/transactionTypeAdditionalInfo;transactionTypeAdditionalInfo;"Informação adicional do tipo do motivo, para preenchimento no caso de movimentações não delimitadas no domínio.

[Restrição] Campo de preenchimento obrigatório pelas participantes quando o campo 'transactionType' for preenchido com o valor 'OUTROS'.
";Texto;100;Condicional;[\w\W\s]*;;0;1;" Campo de preenchimento obrigatório pelas participantes quando o campo 'transactionType' for preenchido com o valor 'OUTROS'.
";Não permitido;string;;
/data/transactionConversionDate;transactionConversionDate;Data da conversão da transação de movimentação do fundo de investimento.;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2023-01-07;10
/data/transactionQuotaPrice;transactionQuotaPrice;"É o valor da cota utilizada na conversão para a realização da movimentação do cliente no fundo, conforme a regra prevista em regulamento - valor pode ser negativo.
";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/transactionQuotaPrice/amount;amount;Valor relacionado ao objeto.;Texto;25;Obrigatório;^-?\d{1,15}\.\d{2,8}$;;1;1;"";Não permitido;string;1000.04;
/data/transactionQuotaPrice/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/transactionQuotaQuantity;transactionQuotaQuantity;"Número de cotas convertidas na data da movimentação.
";Texto;24;Obrigatório;^\d{1,15}\.\d{2,8}$;;1;1;"";Não permitido;string;42.25;
/data/transactionValue;transactionValue;Valor solicitado pelo cliente.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/transactionValue/amount;amount;Valor relacionado ao objeto.;Texto;21;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;string;1000.04;
/data/transactionValue/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
