Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Obrigatório por Regulação;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;Conjunto de informações referente aos correspondentes bancários da Instituição;Objeto;;Obrigatório;Opcional;;;1;1;"";Não permitido;object;;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de Open Finance;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
/data/participant/brand;brand;Nome da marca selecionada pela Organização proprietário da dependência (titular).;Texto;80;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Organização A;1
/data/participant/name;name;Nome da Instituição, pertencente à marca, responsável pelo Correspondente Bancário no país.;Texto;80;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Empresa da Organização A;1
/data/participant/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição;Texto;14;Obrigatório;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;50685362000135;14
/data/bankingAgents;bankingAgents;;Lista;;Opcional;Opcional;;;1;N;"";Não permitido;array;;
/data/bankingAgents/identification;identification;Lojas do correspondente bancário;Objeto;;Obrigatório;Opcional;;;1;1;"";Não permitido;object;;
/data/bankingAgents/identification/corporationName;corporationName;Nome da loja do correspondente bancário;Texto;100;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Empresa Correspondente A;1
/data/bankingAgents/identification/groupName;groupName;Nome do grupo do correspondente bancário;Texto;100;Opcional;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Grupo Master;1
/data/bankingAgents/identification/isUnderestablishment;isUnderestablishment;Indicador do Correspondente Bancário ser um Substabelecimento (são empresas  que foram contratadas por um correspondente bancário para prestar serviços. A empresa substabelecida é tratada como um correspondente do banco e tem praticamente os mesmos direitos e obrigações que possui o correspondente direto);Booleano;;Obrigatório;Obrigatório;;;1;1;"";Não permitido;boolean;true;
/data/bankingAgents/identification/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição;Texto;14;Obrigatório;Opcional;^\d{14}$;;1;1;"";Não permitido;string;50685362000135;14
/data/bankingAgents/locations;locations;Relação de informações referentes as localizações do correspondente bancário;Lista;;Obrigatório;Opcional;;;1;N;"";Não permitido;array;;
/data/bankingAgents/locations/postalAddress;postalAddress;Informação referente ao endereço postal;Objeto;;Obrigatório;Opcional;;;1;1;"";Não permitido;object;;
/data/bankingAgents/locations/postalAddress/address;address;Deverá trazer toda a informação referente ao endereço da dependência informada: Tipo de logradouro + Nome do logradouro + Número do Logradouro (se não existir usar ' s/n') + complemento (se houver), como, p.ex.: 'R Diamatina, 59, bloco 35, fundos' 'Praça da Boa Vontade s/n';Texto;150;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Av Naburo Ykesaki, 1270;1
/data/bankingAgents/locations/postalAddress/additionalInfo;additionalInfo;Alguns logradouros ainda necessitam ser especificados por meio de complemento;Texto;30;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Informações Adicionais;1
/data/bankingAgents/locations/postalAddress/districtName;districtName;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. p.ex: 'Paraíso';Texto;50;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Centro;1
/data/bankingAgents/locations/postalAddress/townName;townName;Localidade: O nome da localidade corresponde à designação da cidade ou município no qual o endereço está localizado. p.ex. 'São Paulo';Texto;50;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Marília;1
/data/bankingAgents/locations/postalAddress/ibgeCode;ibgeCode;Código IBGE do município;Texto;7;Opcional;Opcional;^\d{7}$;;0;1;"";Não permitido;string;3515890;7
/data/bankingAgents/locations/postalAddress/countrySubDivision;countrySubDivision;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. p.ex. 'AC'. São consideradas apenas as siglas para os estados brasileiros;Texto;;Obrigatório;Obrigatório;;"AC 
AL 
AP 
AM 
BA 
CE 
DF 
ES 
GO 
MA 
MT 
MS 
MG 
PA 
PB 
PR 
PE 
PI 
RJ 
RN 
RS 
RO 
RR 
SC 
SP 
SE 
TO";1;1;"";Não permitido;string;SP;
/data/bankingAgents/locations/postalAddress/postCode;postCode;Código de Endereçamento Postal;Texto;8;Obrigatório;Obrigatório;^\d{8}$;;1;1;"";Não permitido;string;17500001;8
/data/bankingAgents/locations/postalAddress/country;country;Nome do país;Texto;80;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Brasil;1
/data/bankingAgents/locations/postalAddress/countryCode;countryCode;Código do país de acordo com a ISO 3166-1 alpha-3;Texto;3;Opcional;Opcional;^([A-Z]{3})$;;0;1;"";Não permitido;string;BRA;3
/data/bankingAgents/locations/postalAddress/geographicCoordinates;geographicCoordinates;Informação referente a geolocalização informada.;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
/data/bankingAgents/locations/postalAddress/geographicCoordinates/latitude;latitude;Informação da latitude referente a geolocalização informada.;Texto;13;Opcional;Opcional;^-?\d{1,2}\.\d{1,9}$;;0;1;"";Não permitido;string;-90.8365180;4
/data/bankingAgents/locations/postalAddress/geographicCoordinates/longitude;longitude;Informação da longitude referente a geolocalização informada.;Texto;13;Opcional;Opcional;^-?\d{1,3}\.\d{1,8}$;;0;1;"";Não permitido;string;-180.836519;4
/data/bankingAgents/locations/availability;availability;Horário de funcionamento das operações;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
