Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/participant;participant;;Objeto;;Opcional;;;0;1;"";Não permitido;object;;
/data/participant/brand;brand;Nome da Marca selecionada pelas Organizações;Texto;80;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Organização A;
/data/participant/name;name;Nome da Instituição, pertencente à marca, responsável pela modalidade de Empréstimos. p.ex.'Empresa da Organização A';Texto;80;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Empresa A1;
/data/participant/cnpjNumber;cnpjNumber;CNPJ;Texto;14;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;50685362000135;
/data/participant/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços. Endereço eletrônico de acesso ao canal. Será obrigatoriamente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada.
Restrição: Será obrigatorimente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada
";Texto;1024;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;https://empresadaorganizacaoa.com/complementarylist;
/data/name;name;Denominação/Identificação do nome da conta (cartão de crédito);Texto;50;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Cartão Vantagens;
/data/identification;identification;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/identification/product;product;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/identification/product/type;type;Categoria atribuída a um cartão de pagamento, sob uma certa denominação, que lhe agrega um conjunto de vantagens, diferenciando-o de acordo com o perfil do portador. Essa categoria é definida pelo BACEN e está contida no documento de nome 'Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento  Emissores';Texto;;Obrigatório;;"CLASSIC_NACIONAL 
CLASSIC_INTERNACIONAL 
GOLD 
PLATINUM 
INFINITE 
ELECTRON 
STANDARD_NACIONAL 
STANDARD_INTERNACIONAL 
ELETRONIC 
BLACK 
REDESHOP 
MAESTRO_MASTERCARD_MAESTRO 
GREEN 
BLUE 
BLUEBOX 
PROFISSIONAL_LIBERAL 
CHEQUE_ELETRONICO 
CORPORATIVO 
EMPRESARIAL 
COMPRAS 
OUTROS";1;1;"";Não permitido;string;PLATINUM;
/data/identification/product/typeAdditionalInfo;typeAdditionalInfo;"Campo livre para preenchimento das informações adicionais referente ao campo ""type"".

[Restrição] Obrigatório quando ""type"" for igual ""OUTROS"".
";Texto;140;Condicional;[\w\W\s]*;;0;1;" Obrigatório quando ""type"" for igual ""OUTROS"".
";Não permitido;string;Informações adicionais;
/data/identification/creditCard;creditCard;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/identification/creditCard/network;network;"Categoria de Bandeiras de Cartões de Crédito (Instituidor do arranjo de pagamento). Bandeira é a detentora de todos os direitos e deveres da utilização da marca estampada no cartão, inclusive as bandeiras pertencentes aos emissores. p.ex. ""American Express"", ""Diners Club"" Essas bandeiras estão definidas em documento do BACEN de nome ""Elaboração e Remessa de Informações Relativas aos Cartões de Pagamento  Emissores""";Texto;;Obrigatório;;"VISA 
MASTERCARD 
AMERICAN_EXPRESS 
DINERS_CLUB 
HIPERCARD 
BANDEIRA_PROPRIA 
CHEQUE_ELETRONICO 
ELO 
OUTRAS";1;1;"";Não permitido;string;MASTERCARD;
/data/identification/creditCard/networkAdditionalInfo;networkAdditionalInfo;"Campo livre para preenchimento das informações adicionais referente ao campo ""network"".

[Restrição] Obrigatório quando ""network"" for igual ""OUTROS"".
";Texto;140;Condicional;[\w\W\s]*;;0;1;" Obrigatório quando ""network"" for igual ""OUTROS"".
";Não permitido;string;Informações adicionais;
/data/rewardsProgram;rewardsProgram;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/rewardsProgram/hasRewardProgram;hasRewardProgram;Indicador da existência de programa de fidelidade/recompensa associado à conta de pagamento pós-paga (cartão) true false;Booleano;;Obrigatório;;;1;1;"";Não permitido;boolean;false;
/data/rewardsProgram/rewardProgramInfo;rewardProgramInfo;Informações de termos e condições do programa de fidelidade/recompensa. Pode ser informada a URL referente ao endereço onde constam as condições informadas. Será de preenchimento obrigatório caso o campo hasRewardProgram esteja preenchido como true;Texto;2000;Opcional;[\w\W\s]*;;0;1;"";Não permitido;string;https://empresaa1.com/credit_cards_rewards;
/data/fees;fees;Objeto que reúne informações de tarifas de serviços;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/fees/services;services;Lista das Tarifas cobradas sobre Serviço relacionadas a Modalidade de Pagamento Pós-Pagas;Lista;;Opcional;;;1;9;"";Não permitido;array;;
/data/fees/services/name;name;Denominação de Serviços relacionados à Modalidade de Contas de Pagamento Pós-Pagas (Vide ENUM);Texto;;Obrigatório;;"ANUIDADE_CARTAO_BASICO_NACIONAL 
ANUIDADE_CARTAO_BASICO_INTERNACIONAL 
ANUIDADE_DIFERENCIADA 
UTILIZACAO_CANAIS_ATENDIMENTO_RETIRADA_ESPECIE_BRASIL 
UTILIZACAO_CANAIS_ATENDIMENTO_RETIRADA_ESPECIE_EXTERIOR 
AVALIACAO_EMERGENCIAL_CREDITO 
FORNECIMENTO_SEGUNDA_VIA_FUNCAO_CREDITO 
PAGAMENTO_CONTAS_UTILIZANDO_FUNCAO_CREDITO 
SMS";1;1;"";Não permitido;string;ANUIDADE_CARTAO_BASICO_NACIONAL;
