Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Lista;;Obrigatório;;;1;N;"";Não permitido;array;;
/data/endpoint;endpoint;URL do endpoint;Texto;2000;Obrigatório;^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$;;1;1;"";Não permitido;string;;
/data/requestTime;requestTime;Data e hora que as métricas foram requisitadas.;Date Hora;20;Obrigatório;;;1;1;"";Não permitido;string;;
/data/availability;availability;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/availability/uptime;uptime;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/availability/uptime/generalUptimeRate;generalUptimeRate;Taxa de disponibilidade (considerando todos os serviços ativos ao mesmo tempo).;Texto;8;Obrigatório;^\d{1}\.\d{6}$;;1;1;"";Não permitido;string;;8
/data/availability/uptime/uptimeRate;uptimeRate;Taxa de disponibilidade do endpoint.;Texto;8;Obrigatório;^\d{1}\.\d{6}$;;1;1;"";Não permitido;string;;8
/data/availability/downtime;downtime;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/availability/downtime/generalDowntime;generalDowntime;Quantidade de segundos de downtime (considerando qualquer api em downtime).;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/availability/downtime/scheduledOutage;scheduledOutage;Quantidade de segundos de indisponibilidade agendada.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/availability/downtime/partialDowntime;partialDowntime;Quantidade de segundos de indisponibilidade do endpoint.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/invocations;invocations;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/invocations/currentDay;currentDay;Número de chamadas não autenticadas no dia atual.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/invocations/previousDays;previousDays;Número de chamadas não autenticadas nos dias anteriores. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;1;"";Não permitido;array;;
/data/averageResponse;averageResponse;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/averageResponse/currentDay;currentDay;Tempo médio de resposta em milissegundos para chamadas no dia atual.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/averageResponse/previousDays;previousDays;Tempo médio de resposta em milissegundos para chamadas nos dias anteriores. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;1;"";Não permitido;array;;
/data/averageTps;averageTps;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/averageTps/currentDay;currentDay;Número médio de chamadas por segundo no dia.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/averageTps/previousDays;previousDays;Número médio de chamadas por segundo nos dias anteriores. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;1;"";Não permitido;array;;
/data/peakTps;peakTps;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/peakTps/currentDay;currentDay;Pico de chamadas por segundo no dia.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/peakTps/previousDays;previousDays;Pico de chamadas por segundo nos dias anteriores. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;1;"";Não permitido;array;;
/data/errors;errors;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/errors/currentDay;currentDay;Número de chamadas com erro no dia atual.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/errors/previousDays;previousDays;Número de chamadas com erro nos dias anteriores. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;1;"";Não permitido;array;;
/data/rejections;rejections;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/rejections/currentDay;currentDay;Número de chamadas rejeitadas no dia atual.;Inteiro;;Obrigatório;;;1;1;"";Não permitido;integer;;
/data/rejections/previousDays;previousDays;Número de chamadas rejeitadas nos dias anteriores. O primeiro item do array é referente a ontem, e assim por diante. Devem ser retornados no máximo sete dias caso estejam disponíveis.;Lista;;Obrigatório;;;1;1;"";Não permitido;array;;
