Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Obrigatório por Regulação;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;Conjunto de informações referente ao produto previdência;Lista;;Obrigatório;Opcional;;;1;2147483647;"";Não permitido;array;;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de Open Finance;Objeto;;Obrigatório;Opcional;;;1;1;"";Não permitido;object;;
/data/participant/brand;brand;Nome da marca reportada pelo participante do Open Finance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Organização;1
/data/participant/name;name;Nome do participante do Open Finance.;Texto;80;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Organização A1;1
/data/participant/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;13456789000112;14
/data/participant/urlComplementaryList;urlComplementaryList;"Espera-se que valor de retorno, após acesso ao link ‘urlComplementaryList’, deve ser array de objeto com a estrutura abaixo:

- ‘name’ com o valor contido no campo ‘LegalEntityName’ conforme cadastro no diretório;

- ‘cnpjNumber’ com o valor contido no campo CNPJ (‘RegistrationNumber’) correspondente a esta instituição;

- Ambos do tipo string;

- Ambos obrigatórios.
";Texto;1024;Opcional;Opcional;;;0;1;"";Não permitido;string;https://empresaa1.com/companies;
/data/society;society;Objeto que representa a empresa regulada pela SUSEP que oferta produtos definidos em OPIN;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
/data/society/name;name;Nome da Sociedade Seguradora.;Texto;80;Obrigatório;Obrigatório;;;1;1;"";Não permitido;string;Society A1;1
/data/society/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;13456789000112;14
/data/society/brand;brand;Nome da Marca reportada pelo participante do Open Insurance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes.;Texto;80;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Marca no OPIN.;1
/data/society/products;products;Lista de produtos de uma empresa.;Lista;;Obrigatório;Opcional;;;1;N;"";Não permitido;array;;
/data/society/products/name;name;"Nome comercial do produto, pelo qual é identificado nos canais de distribuição e atendimento da sociedade.
";Texto;80;Obrigatório;Obrigatório;;;1;1;"";Não permitido;string;Produto A;1
/data/society/products/code;code;"Código único a ser definido pela sociedade.
";Texto;80;Obrigatório;Obrigatório;;;1;1;"";Não permitido;string;0001;1
/data/society/products/segment;segment;"Segmento do qual se trata o produto contratado
1. Seguro de Pessoas
2. Previdência
";Texto;;Opcional;Obrigatório;;"SEGURO_PESSOAS 
PREVIDENCIA";0;1;"";Não permitido;string;PREVIDENCIA;
/data/society/products/modality;modality;"1. Contribuição Variável;
2. Benefício Definido.
";Texto;;Opcional;Obrigatório;;"CONTRIBUICAO_VARIAVEL 
BENEFICIO_DEFINIDO";0;1;"";Não permitido;string;BENEFICIO_DEFINIDO;
/data/society/products/additionalInfo;additionalInfo;Campo aberto (possibilidade de incluir URL);Texto;1024;Opcional;Opcional;;;0;1;"";Não permitido;string;https://openinsurance.com.br/aaa;1
/data/society/products/termsAndConditions;termsAndConditions;Conjunto de informações referente aos termos e condições conforme número do processo SUSEP;Lista;;Opcional;Opcional;;;1;2147483647;"";Não permitido;array;;
/data/society/products/termsAndConditions/susepProcessNumber;susepProcessNumber;"Sequência numérica utilizada para consulta dos processos eletrônicos na SUSEP, com caracteres especiais, conforme campo de consulta no site da SUSEP (XXXXX.XXXXXX/XXXX-XX)<br>Observação&#58; Mascaras da SUSEP – Serão permitidos todas as máscaras de Produtos. Limitar pelos códigos das Máscaras.";Texto;30;Obrigatório;Obrigatório;^(\d{5}\.\d{6}\/\d{4}-\d{2}$|^\d{2}\.\d{6}\/\d{2}-\d{2}$|^\d{3}-\d{5}\/\d{2}$|^\d{5}\.\d{6}\/\d{2}-\d{2})$;;1;1;"";Não permitido;string;15414.622222/2222-22;1
/data/society/products/termsAndConditions/contractTermsConditions;contractTermsConditions;Representam as Condições Gerais, Condições Especiais e Condições ou Cláusulas Particulares de um mesmo produto. (Circular SUSEP 321/06). Campo aberto (possibilidade de incluir URL);Texto;1024;Obrigatório;Obrigatório;;;1;1;"";Não permitido;string;https://openinsurance.com.br/aaa;1
/data/society/products/type;type;"1.  PGBL
2.  PRGP
3.  PAGP
4.  PRSA
5.  PRI
6.  PDR
7.  VGBL
8.  VRGP
9.  VAGP
10. VRSA
11. VRI
12. VDR
13. Demais produtos de Previdência.
";Texto;;Opcional;Obrigatório;;"PGBL 
PRGP 
PAGP 
PRSA 
PRI 
PDR 
VGBL 
VRGP 
VAGP 
VRSA 
VRI 
VDR 
DEMAIS_PRODUTOS_PREVIDENCIA";0;1;"";Não permitido;string;PGBL;
/data/society/products/defferalPeriod;defferalPeriod;Período de Diferimento;Objeto;;Obrigatório;Obrigatório;;;1;1;"";Não permitido;object;;
/data/society/products/defferalPeriod/interestRate;interestRate;Taxa de juros mensal garantida que remunera o plano durante a fase de diferimento/acumulação.;Texto;9;Obrigatório;Obrigatório;^(\d{1}\.\d{6})$|^(-1.000000)$;;1;1;"";Não permitido;string;0.019800;8
/data/society/products/defferalPeriod/updateIndex;updateIndex;"Índice utilizado na atualização do prêmio e do capital segurado, caso critério de atualização por meio de índice:
1. IPCA (IBGE);
2. IGP-M (FGV);
3. INPC (IBGE).
";Texto;;Opcional;Obrigatório;;"IPCA 
IGP_M 
INPC";0;1;"";Não permitido;string;IPCA;
/data/society/products/defferalPeriod/otherMinimumPerformanceGarantees;otherMinimumPerformanceGarantees;Para produtos do tipo PDR e VDR, indicação do índice de ampla divulgação utilizados como garantia mínima de desempenho.;Texto;12;Obrigatório;Obrigatório;;;1;1;"";Não permitido;string;SELIC;1
/data/society/products/defferalPeriod/otherMinGuaranteesPercentage;otherMinGuaranteesPercentage;Para produtos do tipo PDR e VDR, indicação do percentual do índice de ampla divulgação utilizados como garantia mínima de desempenho. Exemplo 1.000000 igual a 100 por cento.;Texto;8;Opcional;Opcional;^(\d{1}\.\d{6})$;;0;1;"";Não permitido;string;1.000000;8
/data/society/products/defferalPeriod/reversalFinancialResults;reversalFinancialResults;Percentual de reversão de excedente financeiro na concessão. Em %.;Texto;9;Obrigatório;Obrigatório;^(\d{1}\.\d{6})$|^(-1.000000)$;;1;1;"";Não permitido;string;0.019800;8
/data/society/products/defferalPeriod/minimumPremiums;minimumPremiums;Valor mínimo do prêmio/contribuição aceita pela sociedade ao plano (identificar valor mensal e/ou aporte único);Lista;;Opcional;Opcional;;;0;2147483647;"";Não permitido;array;;
/data/society/products/defferalPeriod/minimumPremiums/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Opcional;Obrigatório;^([A-Z]{3})$;;0;1;"";Não permitido;string;BRL;3
/data/society/products/defferalPeriod/minimumPremiums/periodicityDescription;periodicityDescription;Descrição da periodicidade do prêmio/contribuição;Texto;15;Opcional;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;MENSAL;5
/data/society/products/defferalPeriod/minimumPremiums/amount;amount;Valor mínimo em R$ de prêmio/ contribuição aceita pela sociedade ao plano (identificar valor mensal e/ou aporte único).;Texto;21;Opcional;Obrigatório;^(\d{1,16}\.\d{2,4})$;;0;1;"";Não permitido;string;250.00;
/data/society/products/defferalPeriod/premiumPaymentMethods;premiumPaymentMethods;Meio de pagamento escolhido pelo segurado;Lista;;Opcional;Opcional;;"CARTAO_CREDITO 
DEBITO_CONTA 
DEBITO_CONTA_POUPANCA 
BOLETO_BANCARIO 
PIX 
CARTAO_DEBITO 
REGRA_PARCEIRO 
CONSIGNACAO_FOLHA_PAGAMENTO 
PONTOS_PROGRAMA_BENEFICIO 
TED_DOC 
OUTROS 
NA";0;2147483647;"";Não permitido;array;CARTAO_CREDITO;
/data/society/products/defferalPeriod/premiumPaymentMethodsAdditionalInfo;premiumPaymentMethodsAdditionalInfo;"Campo livre para preenchimento das informações adicionais referente a descrição do meio de pagamento.

[Restrição] Obrigatório quando """"premiumPaymentMethods"""" for igual 'OUTROS'
";Texto;144;Condicional;Opcional;;;0;1;" Obrigatório quando """"premiumPaymentMethods"""" for igual 'OUTROS'
";Não permitido;string;Informações adicionais;1
/data/society/products/defferalPeriod/permissionExtraordinaryContributions;permissionExtraordinaryContributions;"Se ficam permitidos aportes extraordinários. A considerar os seguintes domínios:
1. true
2. false
";Booleano;;Opcional;Obrigatório;;;0;1;"";Não permitido;boolean;true;
/data/society/products/defferalPeriod/permissionScheduledFinancialPayments;permissionScheduledFinancialPayments;"Se ficam permitidos pagamentos financeiros programados. A considerar os seguintes domínios:
1. true
2. false
";Booleano;;Opcional;Obrigatório;;;0;1;"";Não permitido;boolean;true;
/data/society/products/defferalPeriod/gracePeriod;gracePeriod;Prazo de carência;Objeto;;Opcional;Obrigatório;;;0;1;"";Não permitido;object;;
/data/society/products/defferalPeriod/gracePeriod/redemption;redemption;"Prazo em dias de carência para resgate Para Coletivos: Valor máximo da carência.
";Inteiro;;Obrigatório;Obrigatório;;;1;1;"";Não permitido;integer;100;
/data/society/products/defferalPeriod/gracePeriod/betweenRedemptionRequests;betweenRedemptionRequests;"Prazo em dias de carência entre pedidos de resgate Para Coletivos: Valor máximo da carência
";Inteiro;;Obrigatório;Obrigatório;;;1;1;"";Não permitido;integer;30;
/data/society/products/defferalPeriod/gracePeriod/portability;portability;Prazo em dias de carência para portabilidade (entre empresas diferentes).;Inteiro;;Obrigatório;Obrigatório;;;1;1;"";Não permitido;integer;12;
/data/society/products/defferalPeriod/gracePeriod/betweenPortabilityRequests;betweenPortabilityRequests;Prazo em dias de carência entre pedidos de portabilidade (entre empresas diferentes).;Inteiro;;Obrigatório;Obrigatório;;;1;1;"";Não permitido;integer;15;
/data/society/products/defferalPeriod/redemptionPaymentTerm;redemptionPaymentTerm;Prazo em dias para pagamento do resgate;Inteiro;;Obrigatório;Obrigatório;;;1;1;"";Não permitido;integer;10;
/data/society/products/defferalPeriod/portabilityPaymentTerm;portabilityPaymentTerm;Prazo em dias para pagamento da portabilidade (entre empresas diferentes).;Inteiro;;Obrigatório;Obrigatório;;;1;1;"";Não permitido;integer;20;
/data/society/products/defferalPeriod/investmentFunds;investmentFunds;Lista com as informações do(s) Fundo(s) de Investimento(s) disponíveis para o período de diferimento/acumulação ou de concessão;Lista;;Opcional;Opcional;;;0;2147483647;"";Não permitido;array;;
/data/society/products/defferalPeriod/investmentFunds/cnpjNumber;cnpjNumber;O CNPJ corresponde ao número de inscrição no Cadastro de Pessoa Jurídica. Deve-se ter apenas os números do CNPJ, sem máscara.;Texto;14;Obrigatório;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;13456789000112;14
/data/society/products/defferalPeriod/investmentFunds/name;name;"Lista com as informações do(s) Fundo(s) de Investimento(s) disponíveis para o período de diferimento/acumulação, contemplando:
- Nome Fantasia
";Texto;80;Obrigatório;Obrigatório;;;1;1;"";Não permitido;string;EMPRESAAPREV;1
/data/society/products/defferalPeriod/investmentFunds/maximumAdministrationFee;maximumAdministrationFee;"Lista com as informações do(s) Fundo(s) de Investimento(s) disponíveis para o período de diferimento/acumulação, contemplando:
  - Taxa Máxima de Administração - em %
";Texto;9;Obrigatório;Obrigatório;^(\d{1}\.\d{6})$|^(-1.000000)$;;1;1;"";Não permitido;string;0.019800;8
/data/society/products/defferalPeriod/investmentFunds/typePerformanceFee;typePerformanceFee;"Lista com as informações do(s) Fundo(s) de Investimento(s) disponíveis para o período de diferimento/acumulação, contemplando:
   - Tipo de taxa de performance
";Texto;;Opcional;Obrigatório;;"DIRETAMENTE 
INDIRETAMENTE";0;1;"";Não permitido;string;DIRETAMENTE;
/data/society/products/defferalPeriod/investmentFunds/maximumPerformanceFee;maximumPerformanceFee;"Lista com as informações do(s) Fundo(s) de Investimento(s) disponíveis para o período de diferimento/acumulação, contemplando: 
  - Taxa Máxima de Performance - em %
";Texto;9;Opcional;Obrigatório;^(\d{1}\.\d{6})$|^(-1.000000)$;;0;1;"";Não permitido;string;0.019800;8
/data/society/products/defferalPeriod/investmentFunds/eligibilityRule;eligibilityRule;"Lista com as informações do(s) Fundo(s) de Investimento(s) disponíveis para o período de diferimento/acumulação, contemplando:
  - Regra de Elegibilidade
";Booleano;;Opcional;Obrigatório;;;0;1;"";Não permitido;boolean;true;
/data/society/products/defferalPeriod/investmentFunds/minimumContributionAmount;minimumContributionAmount;"Lista com as informações do(s) Fundo(s) de Investimento(s) disponíveis para o período de diferimento/acumulação, contemplando: 
  - Valor Mínimo de Contribuição
";Texto;21;Opcional;Obrigatório;^(\d{1,16}\.\d{2,4})$;;0;1;"";Não permitido;string;1000.00;1
/data/society/products/defferalPeriod/investmentFunds/minimumContributionValue;minimumContributionValue;Valor Mínimo de Aporte de Portabilidade. Caso a Regra de Elegibilidade SIM.​;Número;;Opcional;Opcional;;;0;1;"";Não permitido;number;1;
