Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Obrigatório por Regulação;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;Conjunto de informações referente ao produto Contas.;Lista;;Obrigatório;Opcional;;;1;N;"";Não permitido;array;;
/data/participant;participant;Conjunto de informações relativas ao participante do Open Finance que oferta este produto.;Objeto;;Obrigatório;Opcional;;;1;1;"";Não permitido;object;;
/data/participant/brand;brand;Nome da Marca reportada pelo participante do Open Finance. O conceito a que se refere a 'marca' é em essência uma promessa da empresa em fornecer uma série específica de atributos, benefícios e serviços uniformes aos clientes;Texto;80;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Organização A;
/data/participant/name;name;Nome da Instituição, pertencente à marca, responsável pela modalidade de Empréstimos. p.ex.'Empresa da Organização A';Texto;80;Obrigatório;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;1;1;"";Não permitido;string;Empresa A1;
/data/participant/cnpjNumber;cnpjNumber;CNPJ;Texto;14;Obrigatório;Obrigatório;^\d{14}$;;1;1;"";Não permitido;string;50685362000135;14
/data/participant/urlComplementaryList;urlComplementaryList;"URL do link que conterá a lista complementar com os nomes e CNPJs agrupados sob o mesmo cnpjNumber. Os contidos nessa lista possuem as mesmas características para produtos e serviços. Endereço eletrônico de acesso ao canal. Será obrigatoriamente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada.
Restrição: Será obrigatorimente preenchido se houver lista complementar com os nomes e CNPJs a ser disponibilizada
";Texto;1024;Opcional;Obrigatório;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;https://empresadaorganizacaoa.com/complementarylist;
/data/type;type;"Tipos de contas ofertadas para pessoa natural ou jurídica, p.ex. 'CONTA_DEPOSITO_A_VISTA'.
Conta de depósito à vista ou Conta corrente - é o tipo mais comum. Nela, o dinheiro fica à sua disposição para ser sacado a qualquer momento. Essa conta não gera rendimentos para o depositante
Conta poupança - foi criada para estimular as pessoas a pouparem. O dinheiro que ficar na conta por trinta dias passa a gerar rendimentos, com isenção de imposto de renda para quem declara. Ou seja, o dinheiro “cresce” (rende) enquanto ficar guardado na conta. Cada depósito terá rendimentos de mês em mês, sempre no dia do mês em que o dinheiro tiver sido depositado
Conta de pagamento pré-paga: segundo CIRCULAR Nº 3.680, BCB de  2013, é a 'destinada à execução de transações de pagamento em moeda eletrônica realizadas com base em fundos denominados em reais previamente aportados'
";Texto;;Obrigatório;Obrigatório;;"CONTA_DEPOSITO_A_VISTA 
CONTA_POUPANCA 
CONTA_PAGAMENTO_PRE_PAGA";1;1;"";Não permitido;string;CONTA_DEPOSITO_A_VISTA;
/data/fees;fees;Objeto que reúne informações de tarifas de serviços.;Objeto;;Obrigatório;Opcional;;;1;1;"";Não permitido;object;;
/data/fees/priorityServices;priorityServices;Lista das Tarifas cobradas sobre Serviços Prioritários;Lista;;Obrigatório;Opcional;;;1;40;"";Não permitido;array;;
/data/fees/priorityServices/name;name;Nome dos Serviços prioritários, segundo Resolução 3.919 do Bacen, para pessoa natural.;Texto;;Obrigatório;Obrigatório;;"CONFECCAO_CADASTRO_INICIO_RELACIONAMENTO 
FORNECIMENTO_2_VIA_CARTAO_FUNCAO_DEBITO 
FORNECIMENTO_2_VIA_CARTAO_FUNCAO_MOVIMENTACAO_CONTA_POUPANCA 
EXCLUSAO_CADASTRO_EMITENTES_CHEQUES_SEM_FUNDO_CCF 
CONTRA_ORDEM_REVOGACAO_E_OPOSICAO_OU_SUSTACAO_PAGAMENTO_CHEQUE 
FORNECIMENTO_FOLHAS_CHEQUE 
CHEQUE_ADMINISTRATIVO 
CHEQUE_VISADO 
SAQUE_CONTA_DEPOSITO_A_VISTA_POUPANCA_PRESENCIAL_OU_PESSOAL 
SAQUE_CONTA_DEPOSITO_A_VISTA_POUPANCA_TERMINAL_AUTOATENDIMENTO 
SAQUE_CONTA_DEPOSITO_A_VISTA_POUPANCA_CORRESPONDENTES_PAIS 
DEPOSITO_IDENTIFICADO 
FORNECIMENTO_EXTRATO_MENSAL_CONTA_DEPOSITOS_A_VISTA_E_POUPANCA_PRESENCIAL_OU_PESSOAL 
FORNECIMENTO_EXTRATO_MENSAL_CONTA_DEPOSITOS_A_VISTA_E_POUPANCA_TERMINAL_AUTOATENDIMENTO 
FORNECIMENTO_EXTRATO_MENSAL_CONTA_DEPOSITOS_A_VISTA_E_POUPANCA_CORRESPONDENTES_PAIS 
FORNECIMENTO_EXTRATO_DE_UM_PERIODO_CONTA_DEPOSITOS_A_VISTA_E_POUPANCA_PRESENCIAL_OU_PESSOAL 
FORNECIMENTO_EXTRATO_DE_UM_PERIODO_CONTA_DEPOSITOS_A_VISTA_E_POUPANCA_TERMINAL_AUTOATENDIMENTO 
FORNECIMENTO_EXTRATO_DE_UM_PERIODO_CONTA_DEPOSITOS_A_VISTA_E_POUPANCA_CORRESPONDENTES_PAIS 
FORNECIMENTO_COPIA_MICROFILME_MICROFICHA_ASSEMELHADO 
TRANSFERENCIA_DOC_PESSOAL_OU_PRESENCIAL 
TRANSFERENCIA_DOC_TERMINAL_AUTOATENDIMENTO_OUTROS_MEIOS_ELETRONICOS 
TRANSFERENCIA_DOC_INTERNET 
TRANSFERENCIA_TED_PESSOAL_OU_PRESENCIAL 
TRANSFERENCIA_TED_TERMINAL_AUTOATENDIMENTO_OUTROS_MEIOS_ELETRONICOS 
TRANSFERENCIA_TED_INTERNET 
TRANSFERENCIA_DOC_TED_PESSOAL_OU_PRESENCIAL 
TRANSFERENCIA_DOC_TED_TERMINAL_AUTOATENDIMENTO_OUTROS_MEIOS_ELETRONICOS 
TRANSFERENCIA_DOC_TED_INTERNET 
TRANSFERENCIA_ENTRE_CONTAS_PROPRIA_INSTITUICAO_PESSOAL_OU_PRESENCIAL 
TRANSFERENCIA_ENTRE_CONTAS_PROPRIA_INSTITUICAO_TERMINAL_AUTOATENDIMENTO_OUTROS_MEIOS_ELETRONICOS_INCLUSIVE_INTERNET 
ORDEM_PAGAMENTO 
ANUIDADE_CARTAO_BASICO_NACIONAL 
ANUIDADE_CARTAO_BASICO_INTERNACIONAL 
ANUIDADE_DIFERENCIADA 
UTILIZACAO_CANAIS_ATENDIMENTO_RETIRADA_ESPECIE_BRASIL 
UTILIZACAO_CANAIS_ATENDIMENTO_RETIRADA_ESPECIE_EXTERIOR 
AVALIACAO_EMERGENCIAL_CREDITO 
FORNECIMENTO_SEGUNDA_VIA_FUNCAO_CREDITO 
PAGAMENTO_CONTAS_UTILIZANDO_FUNCAO_CREDITO 
SMS";1;1;"";Não permitido;string;TRANSFERENCIA_TED_PESSOAL_OU_PRESENCIAL;
