Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Obrigatório por Regulação;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;Conjunto de informações referente aos terminais compartilhados de autoatendimento da instituição;Lista;;Obrigatório;Opcional;;;1;N;"";Não permitido;array;;
/data/participant;participant;Conjunto de informações relativas ao participante do produto de Open Finance;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
/data/participant/brand;brand;Nome da marca selecionada pela Organização;Texto;80;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Organização A;1
/data/participant/name;name;Nome da Instituição, pertencente à Marca.;Texto;80;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Empresa da Organização A;1
/data/participant/cnpjNumber;cnpjNumber;Número completo do CNPJ da instituição;Texto;14;Opcional;Opcional;^\d{14}$;;0;1;"";Não permitido;string;50685362000135;14
/data/participant/urlComplementaryList;urlComplementaryList;"URL de link para lista complementar com os nomes e CNPJs agrupados para o caso instituições ofertantes de produtos e serviços com as mesmas características.
";Texto;1024;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;https://empresadaorganizacaoa.com/complementarylist;1
/data/identification;identification;Identificação dos terminais de autoatendimento compartilhados;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
/data/identification/ownerName;ownerName;Nome do proprietário do terminal de Autoatendimento Compartilhado;Texto;100;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;João da Silva Santos;1
/data/postalAddress;postalAddress;Informação referente ao endereço postal;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
/data/postalAddress/address;address;Deverá trazer toda a informação referente ao endereço da dependência informada: Tipo de logradouro + Nome do logradouro + Número do Logradouro (se não existir usar ' s/n') + complemento (se houver), como, p.ex.: 'R Diamatina, 59, bloco 35, fundos' 'Praça da Boa Vontade s/n';Texto;150;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Av Naburo Ykesaki, 1270;1
/data/postalAddress/additionalInfo;additionalInfo;Complemento;Texto;30;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Informações Adicionais;1
/data/postalAddress/districtName;districtName;Bairro é uma comunidade ou região localizada em uma cidade ou município de acordo com as suas subdivisões geográficas. p.ex: 'Paraíso';Texto;50;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Centro;1
/data/postalAddress/townName;townName;Localidade: O nome da localidade corresponde à designação da cidade ou município no qual o endereço está localizado. p.ex. 'São Paulo';Texto;50;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Marília;1
/data/postalAddress/ibgeCode;ibgeCode;Código IBGE do município;Texto;7;Opcional;Opcional;\d{7};;0;1;"";Não permitido;string;3515890;7
/data/postalAddress/countrySubDivision;countrySubDivision;Enumeração referente a cada sigla da unidade da federação que identifica o estado ou o distrito federal, no qual o endereço está localizado. p.ex. 'AC'. São consideradas apenas as siglas para os estados brasileiros;Texto;;Opcional;Opcional;;"AC 
AL 
AP 
AM 
BA 
CE 
DF 
ES 
GO 
MA 
MT 
MS 
MG 
PA 
PB 
PR 
PE 
PI 
RJ 
RN 
RS 
RO 
RR 
SC 
SP 
SE 
TO";0;1;"";Não permitido;string;SP;
/data/postalAddress/postCode;postCode;Código de Endereçamento Postal;Texto;8;Opcional;Opcional;^\d{8}$;;0;1;"";Não permitido;string;17500001;8
/data/postalAddress/country;country;Nome do país;Texto;80;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Brasil;1
/data/postalAddress/countryCode;countryCode;Código do país de acordo com a ISO 3166-1 alpha-3;Texto;3;Opcional;Opcional;^([A-Z]{3})$;;0;1;"";Não permitido;string;BRA;3
/data/postalAddress/geographicCoordinates;geographicCoordinates;Informação referente a geolocalização informada.;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
/data/postalAddress/geographicCoordinates/latitude;latitude;Informação da latitude referente a geolocalização informada.;Texto;13;Opcional;Opcional;^-?\d{1,2}\.\d{1,9}$;;0;1;"";Não permitido;string;-90.8365180;4
/data/postalAddress/geographicCoordinates/longitude;longitude;Informação da longitude referente a geolocalização informada.;Texto;13;Opcional;Opcional;^-?\d{1,3}\.\d{1,8}$;;0;1;"";Não permitido;string;-180.836519;4
/data/availability;availability;Horário de funcionamento das operações;Objeto;;Opcional;Opcional;;;0;1;"";Não permitido;object;;
/data/availability/standards;standards;Lista disponibilidade padrão dos terminais de autoatendimento compartilhados por dias da semana;Lista;;Opcional;Opcional;;;0;N;"";Não permitido;array;;
/data/availability/standards/weekday;weekday;Dia da semana de abertura;Texto;;Opcional;Opcional;;"DOMINGO 
SEGUNDA_FEIRA 
TERCA_FEIRA 
QUARTA_FEIRA 
QUINTA_FEIRA 
SEXTA_FEIRA 
SABADO";0;1;"";Não permitido;string;SEGUNDA_FEIRA;
/data/availability/standards/openingTime;openingTime;Horário de abertura (UTC);Texto;13;Opcional;Opcional;^(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)|Z$;;0;1;"";Não permitido;string;10:00:57Z;
/data/availability/standards/closingTime;closingTime;Horário de fechamento (UTC);Texto;13;Opcional;Opcional;^(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)|Z$;;0;1;"";Não permitido;string;16:00:57Z;
/data/availability/exception;exception;Em campo texto devem ser registradas todas as Exceções para o não atendimento;Texto;2000;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Exceto feriados municipais, nacionais e estaduais;1
/data/availability/isPublicAccessAllowed;isPublicAccessAllowed;Indica se o terminal de autoatendimento compartilhado tem acesso restrito a clientes;Booleano;;Opcional;Opcional;;;0;1;"";Não permitido;boolean;false;
/data/services;services;;Lista;;Opcional;Opcional;;;0;N;"";Não permitido;array;;
/data/services/name;name;Nome dos Serviços efetivamente prestados pelo Terminal de Autoatendimento Compartilhado informado;Texto;;Opcional;Opcional;;"ABERTURA_CONTAS_DEPOSITOS_OU_PAGAMENTO_PRE_PAGA 
SAQUE_MOEDA_EM_ESPECIE 
RECEBIMENTOS_PAGAMENTOS_QUALQUER_NATUREZA 
TRANSFERENCIAS_ELETRONICAS_VISANDO_MOVIMENTACAO 
CONTAS_DEPOSITOS_OU_PAGAMENTO_TITULARIDADE_CLIENTES 
CONSULTA_SALDOS_EXTRATOS_CONTAS_DEPOSITOS_E_CONTAS 
PAGAMENTOS 
APLICACOES_RESGATES_INVESTIMENTOS 
EXECUCAO_ATIVA_PASSIVA_ORDENS_PAGAMENTO_SOLICITACAO 
CLIENTES_USUARIOS 
DEPOSITOS_MOEDA_ESPECIE_CHEQUE 
OPERACOES_CREDITO_BEM_COMO_OUTROS_SERVICOS_PRESTADOS_ACOMPANHAMENTO_OPERACAO 
CARTAO_CREDITO 
SEGUROS 
OPERACOES_ARRENDAMENTO_MERCANTIL 
ABERTURA_CONTA_PAGAMENTO_POS_PAGA 
COMPRA_VENDA_MOEDA_ESTRANGEIRA_ESPECIE 
COMPRA_VENDA_CHEQUE_CHEQUE_VIAGEM_BEM_COMO_CARGA_MOEDA_ESTRANGEIRA_CARTAO_PRE_PAGO 
COMPRA_VENDA_OURO 
OUTROS_PRODUTOS_SERVICOS 
CANCELAMENTO 
INFORMACOES 
RECLAMACOES";0;1;"";Não permitido;string;OUTROS_PRODUTOS_SERVICOS;
/data/services/code;code;Código dos Serviços efetivamente prestados pelo Terminal de Autoatendimento Compartilhado informado;Texto;;Opcional;Opcional;;"ABRE_CONTA_DEPOSITO_OU_PRE_PAGA 
SAQUE_MOEDA_ESPECIE 
RECEBE_PAGA_QUALQUER_NATUREZA 
TRANSFERENCIAS_ELETRONICAS_MOVIMENTA_CONTAS_DEPOSITOS_OU_PAGA_TITULARES_CLIENTES 
CONSULTA_SALDOS_EXTRATOS_CONTAS_DEPOSITOS 
PAGAMENTOS 
APLICA_RESGATA_INVESTIMENTOS 
EXECUTA_ATIVA_PASSIVA_ORDENS_PAGAMENTO 
DEPOSITA_MOEDA_ESPECIE_CHEQUE 
OPERA_CREDITO_OUTROS_SERVICOS_ACOMPANHA_OPERACAO 
CARTAO_CREDITO 
SEGUROS 
OPERA_ARRENDAMENTO_MERCANTIL 
ABERTURA_CONTA_PAGAMENTO_POS_PAGA 
COMPRA_VENDE_MOEDA_ESTRANGEIRA_ESPECIE 
COMPRA_VENDE_CHEQUE_CHEQUE_VIAGEM_CARGA_MOEDA_ESTRANGEIRA_CARTAO_PRE_PAGO 
COMPRA_VENDE_OURO 
OUTROS_PRODUTOS_SERVICOS 
CANCELAMENTO 
INFORMACOES 
RECLAMACOES";0;1;"";Não permitido;string;OUTROS_PRODUTOS_SERVICOS;
/data/services/additionalInfo;additionalInfo;Texto livre para complementar informação relativa ao Serviço disponível, quando for preenchida a opção 'OUTROS_PRODUTOS_SERVICOS';Texto;2000;Opcional;Opcional;^(?!\s)[\w\W\s]*[^\s]$;;0;1;"";Não permitido;string;Informações Adicionais;1
