Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;Conjunto de informações referentes à identificação da operação de crédito de adiantamento a depositantes;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/contractNumber;contractNumber;Número do contrato dado pela instituição contratante.;Texto;100;Obrigatório;^\d{1,100}$;;1;1;"";Não permitido;string;1324926521496;1
/data/ipocCode;ipocCode;"Número padronizado do contrato - IPOC (Identificação Padronizada da Operação de Crédito). Segundo DOC 3040, composta por:
- **CNPJ da instituição:** 8 (oito) posições iniciais;
- **Modalidade da operação:** 4 (quatro) posições;
- **Tipo do cliente:** 1 (uma) posição( 1 = pessoa natural - CPF, 2= pessoa jurídica – CNPJ, 3 = pessoa física no exterior, 4 = pessoa jurídica no exterior, 5 = pessoa natural sem CPF e 6 = pessoa jurídica sem CNPJ);
- **Código do cliente:** O número de posições varia conforme o tipo do cliente:
  1. Para clientes pessoa física com CPF (tipo de cliente = 1), informar as 11 (onze) posições do CPF;
  2. Para clientes pessoa jurídica com CNPJ (tipo de cliente = 2), informar as 8 (oito) posições iniciais do CNPJ;
  3. Para os demais clientes (tipos de cliente 3, 4, 5 e 6), informar 14 (catorze) posições com complemento de zeros à esquerda se a identificação tiver tamanho inferior;
- **Código do contrato:** 1 (uma) até 40 (quarenta) posições, sem complemento de caracteres.
";Texto;67;Obrigatório;^\d{22,67}$;;1;1;"";Não permitido;string;92792126019929279212650822221989319252576;22
/data/productName;productName;"Denominação/Identificação do nome da Modalidade da Operação de Crédito divulgado ao cliente
";Texto;140;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;AD;
/data/productType;productType;"""Tipo da modalidade de crédito contratada, conforme circular 4.015 e descrição do DOC3040 do SCR). (Vide Enum)
Adiantamento a depositantes, Direitos creditórios descontados Empréstimos,  Financiamentos, Financiamentos rurais  e Financiamentos imobiliários""
";Texto;;Obrigatório;;ADIANTAMENTO_A_DEPOSITANTES;1;1;"";Não permitido;string;ADIANTAMENTO_A_DEPOSITANTES;
/data/productSubType;productSubType;"""Sub tipo da modalidades de crédito contratadas, conforme  circular 4.015 e descrição do DOC3040 do SCR). (Vide Enum)
Adiantamento a depositantes
";Texto;;Obrigatório;;ADIANTAMENTO_A_DEPOSITANTES;1;1;"";Não permitido;string;ADIANTAMENTO_A_DEPOSITANTES;
/data/contractDate;contractDate;Data de contratação da operação de crédito. Especificação RFC-3339;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;"";Não permitido;string;2018-01-05;
/data/disbursementDates;disbursementDates;"Lista que traz as Datas de Desembolso do valor contratado.
";Lista;10;Opcional;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;N;"";Não permitido;array;2018-01-15;
/data/settlementDate;settlementDate;"Data de liquidação da operação.
";Data;10;Opcional;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;0;1;"";Não permitido;string;2018-01-15;
/data/contractAmount;contractAmount;Valor contratado da operação. Expresso em valor monetário com no mínimo 2 casas e no máximo 4 casas decimais. Nos casos em que não houver este valor explícito no contrato do produto, enviar como 0.00.;Texto;21;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;string;100000.0400;4
/data/currency;currency;"Moeda referente ao valor da garantia, segundo modelo ISO-4217. p.ex. 'BRL'
Todos os valores monetários informados estão representados com a moeda vigente do Brasil
";Texto;3;Opcional;^(\w{3}){1}$;;0;1;"";Não permitido;string;BRL;
/data/dueDate;dueDate;"Data de vencimento Final da operação. Especificação RFC-3339
";Data;10;Opcional;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;0;1;"";Não permitido;string;2028-01-15;2
/data/instalmentPeriodicity;instalmentPeriodicity;"""Informação relativa à periodicidade regular das parcelas. (Vide Enum)
sem periodicidade regular, semanal, quinzenal, mensal, bimestral, trimestral, semestral, anual""
";Texto;;Obrigatório;;"SEM_PERIODICIDADE_REGULAR 
SEMANAL 
QUINZENAL 
MENSAL 
BIMESTRAL 
TRIMESTRAL 
SEMESTRAL 
ANUAL 
OUTROS";1;1;"";Não permitido;string;SEMANAL;
/data/instalmentPeriodicityAdditionalInfo;instalmentPeriodicityAdditionalInfo;"Campo obrigatório para complementar a informação relativa à periodicidade de pagamento regular quando tiver a opção OUTROS. 
";Texto;50;Obrigatório;[\w\W\s]*;;1;1;"";Não permitido;string;Informações adicionais sobre periodicidade;
/data/firstInstalmentDueDate;firstInstalmentDueDate;"Data de vencimento primeira parcela do principal
";Data;10;Opcional;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;0;1;"";Não permitido;string;2018-02-15;2
