Xpath;Nome;Definição;Tipo de Dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;Tipo de Dado Json;Exemplo;Tamanho mínimo
/data;data;;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/brokerNoteNumber;brokerNoteNumber;Identificador da nota de negociação.;Texto;16;Obrigatório;^\d{1,16}$;;1;1;"";Não permitido;string;1854009930314350;
/data/grossValue;grossValue;o valor da nota de negociação é o somatório das operações realizadas. Total de compra e venda do dia.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/grossValue/amount;amount;Valor relacionado ao objeto.;Texto;21;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;string;5000.0024;
/data/grossValue/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/brokerageFee;brokerageFee;"a taxa de corretagem incide sobre o valor bruto da nota de negociação, e é livremente pactuada entre o investidor e o seu intermediário. 
Pode ser cobrada como um valor fixo por operação, ou um como um percentual sobre o valor negociado, ou ainda de forma mista, conforme guia CVM do investidor.
";Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/brokerageFee/amount;amount;Valor relacionado ao objeto.;Texto;21;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;string;13.8751;
/data/brokerageFee/currency;currency;Moeda referente ao valor monetário, seguindo o modelo ISO-4217.;Texto;3;Obrigatório;^[A-Z]{3}$;;1;1;"";Não permitido;string;BRL;
/data/clearingSettlementFee;clearingSettlementFee;Valor cobrado para liquidação na custódia.;Objeto;;Obrigatório;;;1;1;"";Não permitido;object;;
/data/clearingSettlementFee/amount;amount;Valor relacionado ao objeto.;Texto;21;Obrigatório;^-?\d{1,15}\.\d{2,4}$;;1;1;"";Não permitido;string;13.8751;
